chave;ano;Sigla;dsc_tribunal;secao;trib;cn1;CnCCrim1;CnCNCrim1;CnExtFisc1;CnExtNFisc1;ExeJudCrimPL1;ExeJudCrimNPL1;ExeJudNCrim1;cp1;CpCCrim1;CpCNCrim1;CpExtFisc1;CpExtNFisc1;ExeJudPCrimPL1;ExeJudPCrimNPL1;ExeJudPNcrim1;susc1;susexfisc1;susexnfisc1;sus1;cntr;CnCrimTR;CnNCrimTR;cptr;CpCrimTR;CpNCrimTR;sustr;cnje;CnCCrimJE;CnCNCrimJE;ExeJudJE;cpje;CpCCrimJE;CpCNCrimJE;ExeJudPJE;suscje;susexje;susje;sus1jetr;CP;SUS;Tram;Dpj;DPeI;DPCO;dpjio;MagPAe1;MagPAeJE;MagPAeTR;MagPAcJE1;MagPAcTR1;MagPAcTRJE;MagAJ1;MagAJJE;MagAJTR;Mag;TPEfet;TPCed;TPReq;TPSV;Serv;tpefetae1;tpefetaeje;tpefetacje1;tpefettr;TpEfet1jetr;tpiae1;tpiaeje;tpiacje1;tpitr;tpi1jetr;tpsvae1;tpsvaeje;tpsvacje1;tpsvtr;tpsv1jetr;tasae1;tasaeje;tasacje1;tastr;Tpaf1jetr;tbaix1;TBaixCCrim1;TBaixCNCrim1;TBaixExtFisc1;TBaixExtNFisc1;TBaixJudCrimNPL1;TBaixJudCrimPL1;TBaixJudNCrim1;tbaixtr;TBaixCrimTR;TBaixNCrimTR;tbaixje;TBaixCCrimJE;TBaixCNCrimJE;TbaixJudJE;Tbaix;cp.sus;cp.sus.fisc;tbaix.sus.fisc;cp.sus.fisc.penal;tbaix.sus.fisc.penal;mag1je;pib;h1;g1;g7;f2;f3;cm1je;k1je;ipm1je;ipsjud1je;iad1je;tc1je
TRF2_2º Grau_2012;2012;TRF2;TRF 2ª Região;2º Grau;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;;;;;96057;0;154937;290841179;34243696;;256597483;0;0;0;0;0;0;0;0;0;27;1014;17;94;24;747;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58880;96057;96057;58880;96057;58880;0;691735553672;19809432;0,00042;14,68195;0,13630;3,77093;;;;0,00000;;
TRF2_total_2012;2012;TRF2;TRF 2ª Região;total;1;117539;12186;35818;55808;2453;0;1081;10193;764017;36448;117289;546531;18844;0;2667;42238;;;;;45914;33;45881;61033;18;61015;;128572;388;101775;26409;180678;1504;144886;34288;;;;;1071630;0;1485949;1177212063;151890397;;1025321667;123;48;14;30;1;0;14;1;1;227;4366;117;219;32;4500;;;;;;;;;;;;;;;;;;;;;154736;15572;51077;63775;5571;689;0;18052;29329;32;29297;171374;839;126727;43808;414319;1071630;525099;350544;522432;349855;187;691735553672;19809432;0,00170;59,42685;1,14592;22,71645;1114,58824;6367,94652;1743,90374;72,46889;1,32505;0,72614
TRF3_MS_2012;2012;TRF3;TRF 3ª Região;MS;0;18534;1290;7056;6155;1071;324;69;2569;66874;5705;12606;39145;165;37;70;9146;;;;;2753;7;2746;6504;6;6498;;4893;26;4867;0;6888;74;6814;0;;;;;80266;0;106446;84246311;4061942;;80184370;15;2;0;2;0;0;1;0;0;18;317;8;5;1;315;;;;;;;;;;;;;;;;;;;;;48498;2830;10640;22928;788;57;124;11131;3531;8;3523;7082;2;7080;0;59111;80266;41121;36183;41014;36002;18;62013200885;2505088;0,00136;33,63008;0,71854;12,57441;1136,94444;5399,38889;3087,77778;176,44444;2,37248;0,42812
TRF3_SP_2012;2012;TRF3;TRF 3ª Região;SP;0;277911;5289;110313;79851;4349;313;972;76824;1537370;19944;197645;1068358;20921;123;2285;228094;;;;;89769;71;89698;210181;61;210120;;157492;104;157388;0;220504;167;220337;0;;;;;1968055;0;2493227;1086076344;105647913;;980428431;216;56;15;1;0;0;22;0;0;266;4006;35;42;3;4016;;;;;;;;;;;;;;;;;;;;;480532;12787;156945;81834;3345;568;25;225028;68769;75;68694;216957;287;216670;0;766258;1968055;899697;684424;897289;683831;251;1559033443696;41901218;0,00070;25,91992;0,63483;9,58445;1423,48207;8738,15538;2778,84064;173,67754;1,60194;0,68199
TRF3_TRU_2012;2012;TRF3;TRF 3ª Região;TRU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1621046644581;44406306;0,00000;0,00000;0,00000;0,00000;;;;;;
TRF3_2º Grau_2012;2012;TRF3;TRF 3ª Região;2º Grau;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;;;;;279791;0;536596;476298873;48885220;;427413653;0;0;0;0;0;0;0;0;0;37;1816;46;28;13;1243;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;256805;279791;279791;256805;279791;256805;0;1621046644581;44406306;0,00029;10,72593;0,08332;2,79915;;;;0,00000;;
TRF3_total_2012;2012;TRF3;TRF 3ª Região;total;1;296445;6579;117369;86006;5420;637;1041;79393;1604244;25649;210251;1107503;21086;160;2355;237240;;;;;92522;78;92444;216685;67;216618;;162385;130;162255;0;227392;241;227151;0;;;;;2440777;0;3522951;1646621529;158595075;;1488026454;231;58;15;3;0;0;23;0;0;321;6139;89;75;17;6142;;;;;;;;;;;;;;;;;;;;;529030;15617;167585;104762;4133;625;149;236159;72300;83;72217;224039;289;223750;0;1082174;2440777;1333274;977412;1330759;976638;269;1621046644581;44406306;0,00102;37,08080;0,72287;13,83137;1404,30855;8514,74349;2799,51301;122,60974;1,64128;0,67122
TRF4_RS_2012;2012;TRF4;TRF 4ª Região;RS;0;87197;7277;38453;27769;4023;337;318;9020;369985;10255;82602;225113;9128;1105;972;40810;;;;;50522;31;50491;104745;29;104716;;108995;588;108407;0;110581;674;109907;0;;;;;585311;0;832025;467427287;34626169;;432801118;39;41;6;56;0;0;8;2;0;132;1689;3;2;0;1688;;;;;;;;;;;;;;;;;;;;;90488;7641;50457;20469;1690;294;259;9678;57582;33;57549;107834;515;107319;0;255904;585311;360198;235435;358121;234882;126;287587018678;10770603;0,00163;43,39843;1,22556;15,67229;1480,29365;5371,09524;1573,98413;117,48934;1,01086;0,70695
TRF4_PR_2012;2012;TRF4;TRF 4ª Região;PR;0;66056;14415;23824;19348;1782;693;339;5655;268721;16410;59420;128541;7561;1699;1072;54018;;;;;36481;26;36455;73605;8;73597;;83538;335;83203;0;87577;433;87144;0;;;;;429903;0;615978;381999705;30764962;;351234743;37;26;3;53;0;0;8;1;0;110;1406;1;4;0;1409;;;;;;;;;;;;;;;;;;;;;65883;15871;31607;8937;1126;359;507;7476;37246;21;37225;90677;333;90344;0;193806;429903;301362;184869;298591;184003;107;285620201624;10577755;0,00134;36,11350;1,03992;13,32041;1335,57944;4727,96262;1463,17757;111,11427;1,04657;0,69053
TRF4_SC_2012;2012;TRF4;TRF 4ª Região;SC;0;42492;3220;18480;15700;1167;220;234;3471;161589;6250;39810;93573;4456;902;565;16033;;;;;28939;58;28881;52660;22;52638;;73273;334;72939;0;61061;605;60456;0;;;;;275310;0;420014;269641843;15909218;;253732625;17;19;3;42;0;0;0;0;0;81;1010;2;3;0;1011;;;;;;;;;;;;;;;;;;;;;41593;3201;28282;6393;937;214;280;2286;31579;51;31528;72483;372;72111;0;145655;275310;181737;139262;180270;138768;78;191794652139;6383286;0,00141;42,24186;1,26894;15,83824;1433,84615;4338,65385;1462,51282;112,83482;0,98541;0,66291
